date,batiment,zone,type_energie,kwh
2024-11-16,Usine_B,Production,gaz,347.87
2023-02-21,Usine_B,Production,gaz,785.2
2023-12-07,Entrepot_Nord,Production,electricite,406.46
2024-08-13,Entrepot_Nord,Eclairage,electricite,390.09
2023-11-28,Entrepot_Nord,Eclairage,electricite,605.13
2024-11-23,Usine_A,Production,electricite,590.42
2023-04-15,Usine_B,Climatisation,electricite,252.97
2024-08-11,Entrepot_Nord,Production,gaz,387.74
2024-10-05,Usine_B,Production,electricite,346.22
2023-04-25,Usine_B,Production,electricite,553.56
2024-10-20,Bureau_Central,Climatisation,electricite,443.83
2023-08-11,Usine_B,Climatisation,electricite,483.03
2024-05-14,Usine_A,Production,gaz,439.33
2023-08-05,Entrepot_Nord,Production,gaz,269.26
2023-01-21,Bureau_Central,Climatisation,electricite,19.21
2023-10-26,Bureau_Central,Bureaux,gaz,590.77
2023-01-22,Bureau_Central,Climatisation,electricite,117.77
2024-09-14,Bureau_Central,Bureaux,electricite,605.21
2023-10-20,Usine_B,Production,electricite,213.93
2024-05-07,Usine_A,Eclairage,electricite,91.11
2023-08-01,Entrepot_Nord,Production,gaz,230.18
2023-09-30,Bureau_Central,Bureaux,gaz,419.92
2023-04-28,Usine_B,Production,electricite,243.63
2023-03-26,Usine_A,Production,electricite,389.48
2023-03-27,Usine_B,Climatisation,electricite,77.88
2023-03-15,Bureau_Central,Bureaux,gaz,392.98
2023-02-21,Bureau_Central,Bureaux,gaz,771.39
2024-10-16,Bureau_Central,Bureaux,electricite,659.49
2024-08-12,Bureau_Central,Bureaux,gaz,245.0
2024-03-06,Usine_A,Eclairage,electricite,727.3
2024-06-07,Usine_A,Eclairage,electricite,890.74
2024-05-21,Usine_A,Eclairage,electricite,315.94
2024-12-27,Usine_B,Production,gaz,919.44
2023-01-10,Bureau_Central,Bureaux,electricite,195.96
2024-11-12,Usine_B,Climatisation,electricite,45.67
2023-03-06,Usine_B,Production,gaz,872.16
2023-02-07,Usine_B,Climatisation,electricite,103.52
2023-12-03,Entrepot_Nord,Production,electricite,613.34
2024-12-07,Entrepot_Nord,Eclairage,electricite,445.59
2023-05-27,Usine_A,Production,electricite,324.32
2024-05-26,Bureau_Central,Bureaux,electricite,547.31
2024-07-09,Usine_B,Production,electricite,539.53
2024-12-18,Usine_A,Production,gaz,846.73
2024-05-11,Bureau_Central,Climatisation,electricite,338.08
2023-12-23,Entrepot_Nord,Production,electricite,452.44
2024-11-01,Bureau_Central,Climatisation,electricite,261.27
2024-06-08,Bureau_Central,Climatisation,electricite,741.82
2024-11-26,Bureau_Central,Bureaux,gaz,327.62
2024-08-04,Entrepot_Nord,Production,electricite,183.64
2024-12-21,Bureau_Central,Bureaux,gaz,1230.41
2023-05-24,Usine_A,Production,electricite,481.14
2023-09-04,Entrepot_Nord,Production,gaz,490.65
2023-05-10,Entrepot_Nord,Production,electricite,497.9
2024-12-26,Usine_A,Production,electricite,523.19
2024-08-26,Bureau_Central,Climatisation,electricite,252.24
2023-05-13,Entrepot_Nord,Production,electricite,208.93
2024-09-23,Usine_A,Eclairage,electricite,202.87
2024-04-30,Usine_A,Production,gaz,381.78
2023-03-09,Usine_A,Production,gaz,793.56
2023-04-24,Usine_A,Production,electricite,587.21
2023-06-27,Usine_A,Production,electricite,277.78
2024-07-16,Bureau_Central,Bureaux,gaz,130.41
2024-08-21,Bureau_Central,Bureaux,gaz,469.41
2024-10-29,Usine_B,Production,gaz,1003.14
2023-01-13,Bureau_Central,Bureaux,electricite,141.36
2023-01-17,Usine_B,Production,gaz,783.73
2023-09-29,Usine_A,Eclairage,electricite,181.28
2023-08-22,Usine_B,Climatisation,electricite,534.09
2024-05-27,Usine_A,Production,gaz,325.69
2024-06-27,Usine_B,Production,electricite,237.81
2023-04-11,Entrepot_Nord,Eclairage,electricite,621.04
2023-12-18,Bureau_Central,Climatisation,electricite,28.25
2024-02-25,Bureau_Central,Bureaux,electricite,473.81
2023-10-11,Entrepot_Nord,Production,gaz,510.97
2024-04-13,Bureau_Central,Climatisation,electricite,212.28
2024-12-11,Usine_A,Production,gaz,832.96
2024-08-09,Entrepot_Nord,Production,electricite,778.9
2023-05-04,Usine_A,Production,electricite,588.52
2023-08-11,Entrepot_Nord,Production,electricite,355.05
2023-08-27,Usine_B,Production,electricite,454.53
2023-07-23,Bureau_Central,Bureaux,electricite,131.86
2023-11-29,Usine_A,Production,electricite,83.19
2023-05-15,Usine_A,Production,gaz,612.46
2024-01-17,Usine_A,Production,gaz,721.58
2023-09-12,Entrepot_Nord,Production,gaz,631.01
2024-11-21,Usine_B,Production,electricite,161.78
2024-10-16,Usine_B,Production,electricite,455.02
2023-12-22,Usine_A,Eclairage,electricite,561.21
2023-07-22,Entrepot_Nord,Eclairage,electricite,-160.17
2024-06-15,Bureau_Central,Climatisation,electricite,324.52
2024-02-14,Bureau_Central,Bureaux,gaz,441.23
2023-11-21,Entrepot_Nord,Production,electricite,858.8
2023-04-30,Entrepot_Nord,Eclairage,electricite,610.48
2023-06-22,Entrepot_Nord,Production,electricite,916.17
2024-11-02,Bureau_Central,Bureaux,gaz,804.24
2023-12-10,Usine_B,Production,gaz,1079.16
2023-09-15,Bureau_Central,Climatisation,electricite,430.42
2024-12-19,Usine_A,Production,gaz,1000.36
2024-01-15,Bureau_Central,Bureaux,electricite,560.82
2024-09-12,Usine_B,Climatisation,electricite,603.61
2024-03-09,Usine_B,Climatisation,electricite,162.45
2024-01-06,Usine_B,Climatisation,electricite,87.09
2023-09-27,Entrepot_Nord,Production,electricite,142.56
2024-09-23,Bureau_Central,Bureaux,gaz,413.08
2024-02-05,Usine_A,Production,electricite,193.9
2023-02-19,Usine_A,Eclairage,electricite,594.05
2024-09-22,Bureau_Central,Bureaux,gaz,348.04
2024-01-07,Usine_A,Production,gaz,1059.16
2024-11-13,Entrepot_Nord,Production,electricite,775.71
2024-04-05,Bureau_Central,Bureaux,gaz,650.99
2024-07-24,Usine_B,Production,gaz,367.25
