date,batiment,zone,kwh,temperature_ext,occupation_pct,type_energie
2025-01-01,Usine Nord,Production,241.59,-2.14,55.5,electricite
2025-01-01,Usine Nord,Tertiaire,142.26,-2.14,55.5,gaz
2025-01-01,Usine Nord,Logistique,147.35,-2.14,55.5,gaz
2025-01-01,Usine Nord,Maintenance,24.81,-2.14,55.5,electricite
2025-01-01,Usine Sud,Production,230.59,-2.14,55.5,electricite
2025-01-01,Usine Sud,Tertiaire,146.82,-2.14,55.5,gaz
2025-01-01,Usine Sud,Logistique,40.25,-2.14,55.5,electricite
2025-01-01,Usine Sud,Maintenance,143.66,-2.14,55.5,gaz
2025-01-01,Usine Sud,Maintenance,35.23,-2.14,55.5,electricite
2025-01-02,Usine Nord,Production,200.95,0.31,83.9,gaz
2025-01-02,Usine Nord,Tertiaire,27.09,0.31,83.9,electricite
2025-01-02,Usine Nord,Logistique,136.0,0.31,83.9,gaz
2025-01-02,Usine Nord,Logistique,49.06,0.31,83.9,electricite
2025-01-02,Usine Sud,Production,203.55,0.31,83.9,gaz
2025-01-02,Usine Sud,Tertiaire,135.23,0.31,83.9,gaz
2025-01-02,Usine Sud,Maintenance,135.52,0.31,83.9,gaz
2025-01-03,Usine Nord,Tertiaire,164.99,-6.24,94.5,gaz
2025-01-03,Usine Nord,Logistique,170.13,-6.24,94.5,gaz
2025-01-03,Usine Sud,Tertiaire,163.19,-6.24,94.5,gaz
2025-01-03,Usine Sud,Maintenance,34.85,-6.24,94.5,electricite
2025-01-04,Usine Nord,Production,229.49,-3.93,70.6,gaz
2025-01-04,Usine Nord,Production,263.67,-3.93,70.6,electricite
2025-01-04,Usine Nord,Tertiaire,153.3,-3.93,70.6,gaz
2025-01-04,Usine Nord,Tertiaire,36.05,-3.93,70.6,electricite
2025-01-04,Usine Nord,Logistique,155.48,-3.93,70.6,gaz
2025-01-04,Usine Nord,Logistique,37.91,-3.93,70.6,electricite
2025-01-04,Usine Sud,Production,226.06,-3.93,70.6,gaz
2025-01-04,Usine Sud,Tertiaire,151.14,-3.93,70.6,gaz
2025-01-04,Usine Sud,Tertiaire,36.06,-3.93,70.6,electricite
2025-01-04,Usine Sud,Logistique,33.34,-3.93,70.6,electricite
2025-01-04,Usine Sud,Maintenance,30.16,-3.93,70.6,electricite
2025-01-05,Usine Nord,Production,230.85,-2.26,54.0,electricite
2025-01-05,Usine Nord,Tertiaire,144.22,-2.26,54.0,gaz
2025-01-05,Usine Nord,Tertiaire,20.22,-2.26,54.0,electricite
2025-01-05,Usine Nord,Maintenance,144.35,-2.26,54.0,gaz
2025-01-05,Usine Sud,Production,213.03,-2.26,54.0,gaz
2025-01-05,Usine Sud,Logistique,141.15,-2.26,54.0,gaz
2025-01-05,Usine Sud,Logistique,34.25,-2.26,54.0,electricite
2025-01-05,Usine Sud,Maintenance,145.27,-2.26,54.0,gaz
2025-01-06,Usine Nord,Production,234.07,4.47,25.3,electricite
2025-01-06,Usine Nord,Tertiaire,40.38,4.47,25.3,electricite
2025-01-06,Usine Nord,Logistique,31.95,4.47,25.3,electricite
2025-01-06,Usine Sud,Production,181.82,4.47,25.3,gaz
